Series ID,Year,Period,Label,Value
LASBS170000000000003,2010,M01,2010 Jan,11.2
LASBS170000000000003,2010,M02,2010 Feb,11.1
LASBS170000000000003,2010,M03,2010 Mar,10.9
LASBS170000000000003,2010,M04,2010 Apr,10.7
LASBS170000000000003,2010,M05,2010 May,10.4
LASBS170000000000003,2010,M06,2010 Jun,10.2
LASBS170000000000003,2010,M07,2010 Jul,9.9
LASBS170000000000003,2010,M08,2010 Aug,9.8
LASBS170000000000003,2010,M09,2010 Sep,9.7
LASBS170000000000003,2010,M10,2010 Oct,9.5
LASBS170000000000003,2010,M11,2010 Nov,9.4
LASBS170000000000003,2010,M12,2010 Dec,9.2
LASBS170000000000003,2011,M01,2011 Jan,9.1
LASBS170000000000003,2011,M02,2011 Feb,9.0
LASBS170000000000003,2011,M03,2011 Mar,9.0
LASBS170000000000003,2011,M04,2011 Apr,9.0
LASBS170000000000003,2011,M05,2011 May,9.1
LASBS170000000000003,2011,M06,2011 Jun,9.2
LASBS170000000000003,2011,M07,2011 Jul,9.3
LASBS170000000000003,2011,M08,2011 Aug,9.3
LASBS170000000000003,2011,M09,2011 Sep,9.3
LASBS170000000000003,2011,M10,2011 Oct,9.3
LASBS170000000000003,2011,M11,2011 Nov,9.1
LASBS170000000000003,2011,M12,2011 Dec,8.9
LASBS170000000000003,2012,M01,2012 Jan,8.7
LASBS170000000000003,2012,M02,2012 Feb,8.6
LASBS170000000000003,2012,M03,2012 Mar,8.6
LASBS170000000000003,2012,M04,2012 Apr,8.6
LASBS170000000000003,2012,M05,2012 May,8.6
LASBS170000000000003,2012,M06,2012 Jun,8.7
LASBS170000000000003,2012,M07,2012 Jul,8.6
LASBS170000000000003,2012,M08,2012 Aug,8.6
LASBS170000000000003,2012,M09,2012 Sep,8.5
LASBS170000000000003,2012,M10,2012 Oct,8.5
LASBS170000000000003,2012,M11,2012 Nov,8.6
LASBS170000000000003,2012,M12,2012 Dec,8.7
LASBS170000000000003,2013,M01,2013 Jan,8.7
LASBS170000000000003,2013,M02,2013 Feb,8.8
LASBS170000000000003,2013,M03,2013 Mar,8.8
LASBS170000000000003,2013,M04,2013 Apr,8.8
LASBS170000000000003,2013,M05,2013 May,8.8
LASBS170000000000003,2013,M06,2013 Jun,8.8
LASBS170000000000003,2013,M07,2013 Jul,8.8
LASBS170000000000003,2013,M08,2013 Aug,8.7
LASBS170000000000003,2013,M09,2013 Sep,8.7
LASBS170000000000003,2013,M10,2013 Oct,8.6
LASBS170000000000003,2013,M11,2013 Nov,8.4
LASBS170000000000003,2013,M12,2013 Dec,8.3
LASBS170000000000003,2014,M01,2014 Jan,8.1
LASBS170000000000003,2014,M02,2014 Feb,7.9
LASBS170000000000003,2014,M03,2014 Mar,7.7
LASBS170000000000003,2014,M04,2014 Apr,7.5
LASBS170000000000003,2014,M05,2014 May,7.3
LASBS170000000000003,2014,M06,2014 Jun,7.0
LASBS170000000000003,2014,M07,2014 Jul,6.8
LASBS170000000000003,2014,M08,2014 Aug,6.6
LASBS170000000000003,2014,M09,2014 Sep,6.5
LASBS170000000000003,2014,M10,2014 Oct,6.3
LASBS170000000000003,2014,M11,2014 Nov,6.1
LASBS170000000000003,2014,M12,2014 Dec,6.0
LASBS170000000000003,2015,M01,2015 Jan,5.9
LASBS170000000000003,2015,M02,2015 Feb,5.8
LASBS170000000000003,2015,M03,2015 Mar,5.8
LASBS170000000000003,2015,M04,2015 Apr,5.8
LASBS170000000000003,2015,M05,2015 May,5.9
LASBS170000000000003,2015,M06,2015 Jun,5.9
LASBS170000000000003,2015,M07,2015 Jul,6.0
LASBS170000000000003,2015,M08,2015 Aug,6.0
LASBS170000000000003,2015,M09,2015 Sep,6.1
LASBS170000000000003,2015,M10,2015 Oct,6.1
LASBS170000000000003,2015,M11,2015 Nov,6.2
LASBS170000000000003,2015,M12,2015 Dec,6.2
LASBS170000000000003,2016,M01,2016 Jan,6.2
LASBS170000000000003,2016,M02,2016 Feb,6.2
LASBS170000000000003,2016,M03,2016 Mar,6.1
LASBS170000000000003,2016,M04,2016 Apr,6.0
LASBS170000000000003,2016,M05,2016 May,5.9
LASBS170000000000003,2016,M06,2016 Jun,5.8
LASBS170000000000003,2016,M07,2016 Jul,5.8
LASBS170000000000003,2016,M08,2016 Aug,5.7
LASBS170000000000003,2016,M09,2016 Sep,5.7
LASBS170000000000003,2016,M10,2016 Oct,5.7
LASBS170000000000003,2016,M11,2016 Nov,5.6
LASBS170000000000003,2016,M12,2016 Dec,5.6
LASBS170000000000003,2017,M01,2017 Jan,5.5
LASBS170000000000003,2017,M02,2017 Feb,5.4
LASBS170000000000003,2017,M03,2017 Mar,5.2
LASBS170000000000003,2017,M04,2017 Apr,5.1
LASBS170000000000003,2017,M05,2017 May,4.9
LASBS170000000000003,2017,M06,2017 Jun,4.9
LASBS170000000000003,2017,M07,2017 Jul,4.8
LASBS170000000000003,2017,M08,2017 Aug,4.8
LASBS170000000000003,2017,M09,2017 Sep,4.8
LASBS170000000000003,2017,M10,2017 Oct,4.7
LASBS170000000000003,2017,M11,2017 Nov,4.7
LASBS170000000000003,2017,M12,2017 Dec,4.6
LASBS170000000000003,2018,M01,2018 Jan,4.5
LASBS170000000000003,2018,M02,2018 Feb,4.6
LASBS170000000000003,2018,M03,2018 Mar,4.6
LASBS170000000000003,2018,M04,2018 Apr,4.7
LASBS170000000000003,2018,M05,2018 May,4.7
LASBS170000000000003,2018,M06,2018 Jun,4.8
LASBS170000000000003,2018,M07,2018 Jul,4.8
LASBS170000000000003,2018,M08,2018 Aug,4.9
LASBS170000000000003,2018,M09,2018 Sep,5.0
LASBS170000000000003,2018,M10,2018 Oct,5.1
LASBS170000000000003,2018,M11,2018 Nov,5.2
LASBS170000000000003,2018,M12,2018 Dec,5.2
LASBS170000000000003,2019,M01,2019 Jan,5.1
LASBS170000000000003,2019,M02,2019 Feb,4.9
LASBS170000000000003,2019,M03,2019 Mar,4.7
LASBS170000000000003,2019,M04,2019 Apr,4.4
LASBS170000000000003,2019,M05,2019 May,4.2
LASBS170000000000003,2019,M06,2019 Jun,4.1
LASBS170000000000003,2019,M07,2019 Jul,4.0
LASBS170000000000003,2019,M08,2019 Aug,4.0
LASBS170000000000003,2019,M09,2019 Sep,4.0
LASBS170000000000003,2019,M10,2019 Oct,4.0
LASBS170000000000003,2019,M11,2019 Nov,3.8
LASBS170000000000003,2019,M12,2019 Dec,3.7
LASBS170000000000003,2020,M01,2020 Jan,3.7
LASBS170000000000003,2020,M02,2020 Feb,3.8
LASBS170000000000003,2020,M03,2020 Mar,4.1
LASBS170000000000003,2020,M04,2020 Apr,16.8
LASBS170000000000003,2020,M05,2020 May,14.0
LASBS170000000000003,2020,M06,2020 Jun,11.8
LASBS170000000000003,2020,M07,2020 Jul,10.5
LASBS170000000000003,2020,M08,2020 Aug,8.7
LASBS170000000000003,2020,M09,2020 Sep,8.0
LASBS170000000000003,2020,M10,2020 Oct,7.0
LASBS170000000000003,2020,M11,2020 Nov,6.8
LASBS170000000000003,2020,M12,2020 Dec,6.7
LASBS170000000000003,2021,M01,2021 Jan,6.4
LASBS170000000000003,2021,M02,2021 Feb,6.3
LASBS170000000000003,2021,M03,2021 Mar,6.2
LASBS170000000000003,2021,M04,2021 Apr,6.0
LASBS170000000000003,2021,M05,2021 May,5.8
LASBS170000000000003,2021,M06,2021 Jun,5.9
LASBS170000000000003,2021,M07,2021 Jul,5.7
LASBS170000000000003,2021,M08,2021 Aug,5.7
LASBS170000000000003,2021,M09,2021 Sep,5.3
LASBS170000000000003,2021,M10,2021 Oct,5.3
LASBS170000000000003,2021,M11,2021 Nov,5.0
LASBS170000000000003,2021,M12,2021 Dec,4.8
LASBS170000000000003,2022,M01,2022 Jan,4.7
LASBS170000000000003,2022,M02,2022 Feb,4.6
LASBS170000000000003,2022,M03,2022 Mar,4.5
LASBS170000000000003,2022,M04,2022 Apr,4.4
LASBS170000000000003,2022,M05,2022 May,4.4
LASBS170000000000003,2022,M06,2022 Jun,4.3
LASBS170000000000003,2022,M07,2022 Jul,4.3
LASBS170000000000003,2022,M08,2022 Aug,4.3
LASBS170000000000003,2022,M09,2022 Sep,4.5
LASBS170000000000003,2022,M10,2022 Oct,4.6
LASBS170000000000003,2022,M11,2022 Nov,4.7
LASBS170000000000003,2022,M12,2022 Dec,4.7
LASBS170000000000003,2023,M01,2023 Jan,4.6
LASBS170000000000003,2023,M02,2023 Feb,4.5
LASBS170000000000003,2023,M03,2023 Mar,4.5
LASBS170000000000003,2023,M04,2023 Apr,4.6
LASBS170000000000003,2023,M05,2023 May,4.7
LASBS170000000000003,2023,M06,2023 Jun,4.8
LASBS170000000000003,2023,M07,2023 Jul,4.9
LASBS170000000000003,2023,M08,2023 Aug,5.0
LASBS170000000000003,2023,M09,2023 Sep,5.1
LASBS170000000000003,2023,M10,2023 Oct,5.1
LASBS170000000000003,2023,M11,2023 Nov,5.1
LASBS170000000000003,2023,M12,2023 Dec,5.1
LASBS170000000000003,2024,M01,2024 Jan,5.1
